Bundling 6%
Bundling 11%
Bundling 17%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/series/collapse-ecosystems.mp4
Concurrency          2x
Rendered 471/1310, time remaining: 5m 2s
Rendered 472/1310, time remaining: 5m 2s
Rendered 473/1310, time remaining: 5m 1s
Rendered 474/1310, time remaining: 5m 6s
Rendered 475/1310, time remaining: 5m 4s
Rendered 476/1310, time remaining: 5m 5s
Rendered 477/1310, time remaining: 5m 1s
Rendered 478/1310, time remaining: 5m 4s
Rendered 479/1310, time remaining: 5m 1s
Rendered 480/1310, time remaining: 5m 3s
Rendered 481/1310, time remaining: 4m 59s
Rendered 482/1310, time remaining: 5m 2s
Rendered 483/1310, time remaining: 5m 0s
Rendered 484/1310, time remaining: 5m 0s
Rendered 485/1310, time remaining: 4m 59s
Rendered 486/1310, time remaining: 4m 58s
Rendered 487/1310, time remaining: 4m 58s
Rendered 488/1310, time remaining: 4m 57s
Rendered 489/1310, time remaining: 4m 55s
Rendered 490/1310, time remaining: 4m 56s
Rendered 491/1310, time remaining: 4m 55s
Rendered 492/1310, time remaining: 4m 54s
Rendered 493/1310, time remaining: 4m 53s
Rendered 494/1310, time remaining: 4m 53s
Rendered 495/1310, time remaining: 4m 54s
Rendered 496/1310, time remaining: 4m 53s
Rendered 497/1310, time remaining: 4m 53s
Rendered 498/1310, time remaining: 4m 52s
Rendered 499/1310, time remaining: 4m 52s
Rendered 500/1310, time remaining: 4m 52s
Rendered 501/1310, time remaining: 4m 52s
Rendered 502/1310, time remaining: 4m 51s
Rendered 503/1310, time remaining: 4m 50s
Rendered 504/1310, time remaining: 4m 49s
Rendered 505/1310, time remaining: 4m 48s
Rendered 506/1310, time remaining: 4m 49s
Rendered 507/1310, time remaining: 4m 46s
Rendered 508/1310, time remaining: 4m 48s
Rendered 509/1310, time remaining: 4m 46s
Rendered 510/1310, time remaining: 4m 45s
Rendered 511/1310, time remaining: 4m 46s
Rendered 512/1310, time remaining: 4m 43s
Rendered 513/1310, time remaining: 4m 44s
Rendered 514/1310, time remaining: 4m 43s
Rendered 515/1310, time remaining: 4m 44s
Rendered 516/1310, time remaining: 4m 42s
Rendered 517/1310, time remaining: 4m 43s
Rendered 518/1310, time remaining: 4m 41s
Rendered 519/1310, time remaining: 4m 44s
Rendered 520/1310, time remaining: 4m 39s
Rendered 521/1310, time remaining: 4m 43s
Rendered 522/1310, time remaining: 4m 41s
Rendered 523/1310, time remaining: 4m 42s
Rendered 524/1310, time remaining: 4m 40s
Rendered 525/1310, time remaining: 4m 42s
Rendered 526/1310, time remaining: 4m 39s
Rendered 527/1310, time remaining: 4m 40s
Rendered 528/1310, time remaining: 4m 38s
Rendered 529/1310, time remaining: 4m 39s
Rendered 530/1310, time remaining: 4m 39s
Rendered 531/1310, time remaining: 4m 41s
Rendered 532/1310, time remaining: 4m 38s
Rendered 533/1310, time remaining: 4m 39s
Rendered 534/1310, time remaining: 4m 38s
Rendered 535/1310, time remaining: 4m 39s
Rendered 536/1310, time remaining: 4m 38s
Rendered 537/1310, time remaining: 4m 38s
Rendered 538/1310, time remaining: 4m 37s
Rendered 539/1310, time remaining: 4m 35s
Rendered 540/1310, time remaining: 4m 38s
Rendered 541/1310, time remaining: 4m 33s
Rendered 542/1310, time remaining: 4m 35s
Rendered 543/1310, time remaining: 4m 32s
Rendered 544/1310, time remaining: 4m 33s
Rendered 545/1310, time remaining: 4m 30s
Rendered 546/1310, time remaining: 4m 32s
Rendered 547/1310, time remaining: 4m 30s
Rendered 548/1310, time remaining: 4m 30s
Rendered 549/1310, time remaining: 4m 30s
Rendered 550/1310, time remaining: 4m 29s
Rendered 551/1310, time remaining: 4m 29s
Rendered 552/1310, time remaining: 4m 28s
Rendered 553/1310, time remaining: 4m 30s
Rendered 554/1310, time remaining: 4m 27s
Rendered 555/1310, time remaining: 4m 29s
Rendered 556/1310, time remaining: 4m 27s
Rendered 557/1310, time remaining: 4m 27s
Rendered 558/1310, time remaining: 4m 27s
Rendered 559/1310, time remaining: 4m 27s
Rendered 560/1310, time remaining: 4m 25s
Rendered 561/1310, time remaining: 4m 24s
Rendered 562/1310, time remaining: 4m 25s
Rendered 563/1310, time remaining: 4m 23s
Rendered 564/1310, time remaining: 4m 24s
Rendered 565/1310, time remaining: 4m 23s
Rendered 566/1310, time remaining: 4m 22s
Rendered 567/1310, time remaining: 4m 24s
Rendered 568/1310, time remaining: 4m 24s
Rendered 569/1310, time remaining: 4m 23s
Rendered 570/1310, time remaining: 4m 23s
Rendered 571/1310, time remaining: 4m 22s
Rendered 572/1310, time remaining: 4m 25s
Rendered 573/1310, time remaining: 4m 24s
Rendered 574/1310, time remaining: 4m 23s
Rendered 575/1310, time remaining: 4m 24s
Rendered 576/1310, time remaining: 4m 25s
Rendered 577/1310, time remaining: 4m 23s
Rendered 578/1310, time remaining: 4m 25s
Rendered 579/1310, time remaining: 4m 23s
Rendered 580/1310, time remaining: 4m 23s
Rendered 581/1310, time remaining: 4m 23s
Rendered 582/1310, time remaining: 4m 22s
Rendered 583/1310, time remaining: 4m 23s
Rendered 584/1310, time remaining: 4m 22s
Rendered 585/1310, time remaining: 4m 23s
Rendered 586/1310, time remaining: 4m 21s
Rendered 587/1310, time remaining: 4m 21s
Rendered 588/1310, time remaining: 4m 20s
Rendered 589/1310, time remaining: 4m 20s
Rendered 590/1310, time remaining: 4m 20s
Rendered 591/1310, time remaining: 4m 21s
Rendered 592/1310, time remaining: 4m 20s
Rendered 593/1310, time remaining: 4m 21s
Rendered 594/1310, time remaining: 4m 20s
Rendered 595/1310, time remaining: 4m 21s
Rendered 596/1310, time remaining: 4m 19s
Rendered 597/1310, time remaining: 4m 20s
